"Date","ALCONE5LFN"
1990-01-01,5538
1990-02-01,5599
1990-03-01,5674
1990-04-01,5618
1990-05-01,5643
1990-06-01,5811
1990-07-01,5946
1990-08-01,5995
1990-09-01,5916
1990-10-01,5871
1990-11-01,5798
1990-12-01,5882
1991-01-01,5847
1991-02-01,5911
1991-03-01,5832
1991-04-01,5760
1991-05-01,5797
1991-06-01,5873
1991-07-01,5905
1991-08-01,5714
1991-09-01,5754
1991-10-01,5811
1991-11-01,5853
1991-12-01,5933
1992-01-01,5957
1992-02-01,6095
1992-03-01,6133
1992-04-01,6083
1992-05-01,6084
1992-06-01,6109
1992-07-01,6251
1992-08-01,6206
1992-09-01,6033
1992-10-01,5973
1992-11-01,6085
1992-12-01,5990
1993-01-01,6031
1993-02-01,6057
1993-03-01,6097
1993-04-01,6184
1993-05-01,6259
1993-06-01,6316
1993-07-01,6451
1993-08-01,6431
1993-09-01,6535
1993-10-01,6412
1993-11-01,6330
1993-12-01,6378
1994-01-01,6320
1994-02-01,6331
1994-03-01,6332
1994-04-01,6281
1994-05-01,6486
1994-06-01,6575
1994-07-01,6621
1994-08-01,6772
1994-09-01,6701
1994-10-01,6786
1994-11-01,6842
1994-12-01,6658
1995-01-01,6600
1995-02-01,6549
1995-03-01,6634
1995-04-01,6928
1995-05-01,6901
1995-06-01,6944
1995-07-01,7098
1995-08-01,6649
1995-09-01,6572
1995-10-01,6562
1995-11-01,6560
1995-12-01,6447
1996-01-01,6411
1996-02-01,7072
1996-03-01,6950
1996-04-01,7003
1996-05-01,6915
1996-06-01,6900
1996-07-01,6991
1996-08-01,6772
1996-09-01,7089
1996-10-01,7180
1996-11-01,7046
1996-12-01,6913
1997-01-01,6807
1997-02-01,6741
1997-03-01,6742
1997-04-01,6709
1997-05-01,6733
1997-06-01,6912
1997-07-01,6779
1997-08-01,6745
1997-09-01,6748
1997-10-01,6717
1997-11-01,6664
1997-12-01,6717
1998-01-01,6597
1998-02-01,6594
1998-03-01,6582
1998-04-01,6795
1998-05-01,6790
1998-06-01,6849
1998-07-01,6821
1998-08-01,6646
1998-09-01,6066
1998-10-01,6054
1998-11-01,5966
1998-12-01,5981
1999-01-01,5963
1999-02-01,5916
1999-03-01,5910
1999-04-01,5889
1999-05-01,5880
1999-06-01,5952
1999-07-01,5918
1999-08-01,5996
1999-09-01,5889
1999-10-01,5939
1999-11-01,5937
1999-12-01,5931
2000-01-01,5605
2000-02-01,5634
2000-03-01,5580
2000-04-01,5580
2000-05-01,5536
2000-06-01,5517
2000-07-01,5526
2000-08-01,5554
2000-09-01,5432
2000-10-01,5457
2000-11-01,5441
2000-12-01,5389
2001-01-01,5558
2001-02-01,5440
2001-03-01,5408
2001-04-01,5386
2001-05-01,5375
2001-06-01,5294
2001-07-01,5210
2001-08-01,5248
2001-09-01,5189
2001-10-01,5238
2001-11-01,5182
2001-12-01,5162
2002-01-01,5261
2002-02-01,5291
2002-03-01,5284
2002-04-01,5204
2002-05-01,5160
2002-06-01,5216
2002-07-01,5221
2002-08-01,5164
2002-09-01,5120
2002-10-01,5087
2002-11-01,5107
2002-12-01,5035
2003-01-01,5110
2003-02-01,5122
2003-03-01,5068
2003-04-01,5083
2003-05-01,5190
2003-06-01,5278
2003-07-01,5283
2003-08-01,5274
2003-09-01,5194
2003-10-01,5191
2003-11-01,5164
2003-12-01,5067
2004-01-01,5121
2004-02-01,4997
2004-03-01,5039
2004-04-01,5041
2004-05-01,5098
2004-06-01,5194
2004-07-01,5201
2004-08-01,5140
2004-09-01,5054
2004-10-01,5011
2004-11-01,4948
2004-12-01,4917
2005-01-01,5155
2005-02-01,5132
2005-03-01,5117
2005-04-01,5126
2005-05-01,5156
2005-06-01,5254
2005-07-01,5316
2005-08-01,5195
2005-09-01,5174
2005-10-01,5188
2005-11-01,5140
2005-12-01,5119
2006-01-01,5120
2006-02-01,5104
2006-03-01,5113
2006-04-01,5098
2006-05-01,5145
2006-06-01,5244
2006-07-01,5283
2006-08-01,5195
2006-09-01,5090
2006-10-01,5080
2006-11-01,5040
2006-12-01,5006
2007-01-01,4985
2007-02-01,4938
2007-03-01,4918
2007-04-01,4981
2007-05-01,5044
2007-06-01,5024
2007-07-01,5057
2007-08-01,4960
2007-09-01,4974
2007-10-01,5025
2007-11-01,4938
2007-12-01,4903
2008-01-01,4927
2008-02-01,4898
2008-03-01,4865
2008-04-01,4843
2008-05-01,4851
2008-06-01,4956
2008-07-01,4907
2008-08-01,4920
2008-09-01,4899
2008-10-01,4866
2008-11-01,4838
2008-12-01,4853
2009-01-01,4897
2009-02-01,4898
2009-03-01,4930
2009-04-01,5015
2009-05-01,4890
2009-06-01,5007
2009-07-01,4892
2009-08-01,4866
2009-09-01,4734
2009-10-01,4747
2009-11-01,4688
2009-12-01,4671
2010-01-01,4913
2010-02-01,4853
2010-03-01,4830
2010-04-01,4935
2010-05-01,4940
2010-06-01,4954
2010-07-01,5103
2010-08-01,5068
2010-09-01,5023
2010-10-01,5114
2010-11-01,5045
2010-12-01,5000
2011-01-01,4828
2011-02-01,4778
2011-03-01,4816
2011-04-01,4745
2011-05-01,4782
2011-06-01,4852
2011-07-01,4874
2011-08-01,4805
2011-09-01,4746
2011-10-01,4789
2011-11-01,4676
2011-12-01,4649
2012-01-01,4593
2012-02-01,4583
2012-03-01,4598
2012-04-01,4518
2012-05-01,4616
2012-06-01,4727
2012-07-01,4804
2012-08-01,4672
2012-09-01,4641
2012-10-01,4721
2012-11-01,4594
2012-12-01,4650
2013-01-01,4629
2013-02-01,4612
2013-03-01,4668
2013-04-01,4635
2013-05-01,4733
2013-06-01,4835
2013-07-01,4808
2013-08-01,4725
2013-09-01,4748
2013-10-01,4729
2013-11-01,4629
2013-12-01,4572
2014-01-01,4657
2014-02-01,4685
2014-03-01,4716
2014-04-01,4615
2014-05-01,4714
2014-06-01,4748
2014-07-01,4817
2014-08-01,4748
2014-09-01,4734
2014-10-01,4827
2014-11-01,4693
2014-12-01,4733
2015-01-01,4659
2015-02-01,4594
2015-03-01,4741
2015-04-01,4701
2015-05-01,4714
2015-06-01,4757
2015-07-01,4743
2015-08-01,4698
2015-09-01,4694
2015-10-01,4644
2015-11-01,4540
2015-12-01,4563
2016-01-01,4485
2016-02-01,4477
2016-03-01,4484
2016-04-01,4486
2016-05-01,4480
2016-06-01,4566
2016-07-01,4564
2016-08-01,4551
2016-09-01,4563
2016-10-01,4559
2016-11-01,4474
2016-12-01,4448
2017-01-01,4507
2017-02-01,4493
2017-03-01,4495
2017-04-01,4496
2017-05-01,4461
2017-06-01,4601
2017-07-01,4653
2017-08-01,4660
2017-09-01,4623
2017-10-01,4529
2017-11-01,4490
2017-12-01,4486
2018-01-01,4496
2018-02-01,4545
2018-03-01,4555
2018-04-01,4582
2018-05-01,4555
2018-06-01,4636
2018-07-01,4674
2018-08-01,4597
2018-09-01,4587
2018-10-01,4536
2018-11-01,4488
2018-12-01,4465
2019-01-01,4557
2019-02-01,4592
2019-03-01,4581
2019-04-01,4579
2019-05-01,4548
2019-06-01,4595
2019-07-01,4672
2019-08-01,4611
2019-09-01,4583
2019-10-01,4552
2019-11-01,4518
2019-12-01,4486
2020-01-01,4468
2020-02-01,4512
2020-03-01,4481
2020-04-01,4432
2020-05-01,4646
2020-06-01,4738
2020-07-01,4717
2020-08-01,4676
2020-09-01,4646
2020-10-01,4609
2020-11-01,4562
2020-12-01,4505
2021-01-01,4439
2021-02-01,4424
2021-03-01,4374
2021-04-01,4402
2021-05-01,4378
2021-06-01,4405
2021-07-01,4474
2021-08-01,4452
2021-09-01,4388
2021-10-01,4349
2021-11-01,4302
2021-12-01,4292
2022-01-01,4186
2022-02-01,4202
2022-03-01,4149
2022-04-01,4212
2022-05-01,4244
2022-06-01,4284
2022-07-01,4336
2022-08-01,4297
2022-09-01,4262
2022-10-01,4264
2022-11-01,4232
2022-12-01,4229
2023-01-01,4167
2023-02-01,4110
2023-03-01,4134
2023-04-01,4180
2023-05-01,4209
2023-06-01,4255
2023-07-01,4288
2023-08-01,4296
2023-09-01,4188
2023-10-01,4240
